,Unnamed: 0,department,division,position_title,city,gender,ethnicity,education,veteran_status,startyear,birthyear,tenure,age
59,59,Public Works,PW Div of Streets & Bridges,Lead Mason,Virginia Beach,Male,White,Less Than HS Graduate,Not Indicated,2013,1971,10,52
60,60,City Attorney,Law,Deputy City Attorney I,Norfolk,Male,White,Doctorate (Professional),Not Indicated,2015,1958,8,65
61,61,Police,Police Investigative Svc-Sworn,Police Sergeant,Norfolk,Male,White,HS Graduate or Equivalent,Not Indicated,2012,1983,11,40
62,62,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Norfolk,Female,,Not Indicated,Not Indicated,2011,1967,12,56
63,63,Fire-Rescue,Fire-Rescue,Firefighter EMT-I,Norfolk,Male,White,Not Indicated,Not Indicated,2010,1989,13,34
64,64,Public Works,PW Div of Streets & Bridges,Equipment Operator II,Norfolk,Male,Black,Some College,Not Indicated,2017,1977,6,46
65,65,Fire-Rescue,Fire-Rescue,Fire Lieutenant,Norfolk,Male,White,Not Indicated,Not Indicated,2011,1985,12,38
66,66,Fire-Rescue,Fire-Rescue,Firefighter EMT-I,Norfolk,Male,White,Not Indicated,Not Indicated,2010,1977,13,46
67,67,Commonwealths Attorney,DCJS VSDVVF,Victim/Witness Prg Advocate,Norfolk,Female,White,Not Indicated,Not Indicated,2012,1991,11,32
68,68,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),Portsmouth,Male,White,HS Graduate or Equivalent,Not Indicated,2015,1990,8,33
69,69,Police,Police Field Operations-Sworn,Master Police Officer,Suffolk,Male,White,Not Indicated,Not Indicated,2009,1984,14,39
70,70,Norfolk Community Services Board,NCSB-PACT,Psychiatrist,Virginia Beach,Female,White,Not Indicated,Not Indicated,2011,1972,12,51
71,71,Human Services,Hum Svc Div of Social Services,Programs Manager,Virginia Beach,Female,Asian,Not Indicated,Not Indicated,2012,1972,11,51
72,72,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Portsmouth,Female,Black,Not Indicated,Not Indicated,2010,1986,13,37
73,73,General Services,Gen Srvs-PublicInfrastructure,Maintenance Mechanic II,Virginia Beach,Male,NS,Technical School,Not Indicated,2023,1991,0,32
74,74,Norfolk Community Services Board,NCSB-Medical Services,Psychiatrist,Chesapeake,Female,White,Post-Doctorate,Not Indicated,2011,1953,12,70
75,75,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Suffolk,Female,Black,Not Indicated,Not Indicated,2010,1975,13,48
76,76,Public Works,PW Division of Design,Civil Engineer III,Chesapeake,Male,White,Bachelors Level Degree,Not Indicated,2017,1979,6,44
77,77,Human Services,Hum Svc Div of Social Services,Family Services Worker II,Virginia Beach,Female,Black,Not Indicated,Not Indicated,2010,1985,13,38
78,78,Public Works,PW Storm Water Mgmt,"Utility MaintenanceSupv, Sr",Norfolk,Male,White,Not Indicated,Not Indicated,2009,1985,14,38
79,79,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Chesapeake,Female,White,Not Indicated,Not Indicated,2010,1986,13,37
80,80,Human Services,Hum Svc Div of Social Services,Data Quality Control Manager,Norfolk,Female,Black,Not Indicated,Not Indicated,2011,1967,12,56
81,81,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Norfolk,Male,Black,Not Indicated,Not Indicated,2011,1981,12,42
82,82,General Services,Gen Srvs-PublicInfrastructure,Operating Engineer II,Suffolk,Male,Black,Not Indicated,Not Indicated,2019,1973,4,50
83,83,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Virginia Beach,Male,White,Not Indicated,Not Indicated,2011,1971,12,52
84,84,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Elizabeth City,Male,White,Not Indicated,Not Indicated,2011,1979,12,44
85,85,Slover Library,Slover Library,Library Assistant II,Norfolk,Female,Black,Bachelors Level Degree,Not Indicated,2018,1992,5,31
86,86,Slover Library,Slover Library,Library Associate  I,Norfolk,Female,White,Some College,Not Indicated,2012,1979,11,44
87,87,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Ahoskie,Male,Black,Not Indicated,Not Indicated,2012,1972,11,51
88,88,Norfolk Community Services Board,NCSB-Intake,Clinician,Chesapeake,Female,Black,Not Indicated,Not Indicated,2009,1959,14,64
89,89,Police,Police Field Operations-Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2011,1990,12,33
90,90,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,White,Not Indicated,Not Indicated,2013,1988,10,35
91,91,Utilities,Utilities WasteWater,Maintenance Worker II,Norfolk,Male,Black,Not Indicated,Not Indicated,2012,1962,11,61
92,92,Norfolk Community Services Board,NCSB-Board Access Unit (MH),Case Manager IV,Chesapeake,Male,White,Not Indicated,Not Indicated,2012,1978,11,45
93,93,Norfolk Community Services Board,NCSB - Housing & Homeless Serv,Counselor III,Virginia Beach,Female,Black,Not Indicated,Not Indicated,2009,1968,14,55
94,94,Police,Police Field Operations-Sworn,Master Police Officer,Norfolk,Male,White,Not Indicated,Not Indicated,2012,1988,11,35
95,95,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),Chesapeake,Male,White,Not Indicated,Not Indicated,2011,1974,12,49
96,96,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),Portsmouth,Female,Black,Not Indicated,Not Indicated,2012,1988,11,35
97,97,Public Works,PW Right of Way,Construction Inspector II,Norfolk,Male,Black,Not Indicated,Not Indicated,2010,1965,13,58
98,98,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,White,Not Indicated,Not Indicated,2013,1983,10,40
99,99,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,White,Not Indicated,Not Indicated,2011,1984,12,39
100,100,Public Works,PW Right of Way,GIS Specialist III,Norfolk,Male,White,Not Indicated,Not Indicated,2011,1966,12,57
101,101,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Moyock,Male,White,Not Indicated,Not Indicated,2011,1970,12,53
102,102,Police,Police Field Operations-Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2010,1980,13,43
103,103,Public Works,PW Utility Cut Repairs,Equipment Operator II,Norfolk,Male,Black,HS Graduate or Equivalent,Not Indicated,2012,1984,11,39
104,104,Police,Police Field Operations-Sworn,Master Police Officer,Norfolk,Male,White,Not Indicated,Not Indicated,2010,1972,13,51
105,105,Police,Police Field Operations-Sworn,Master Police Officer,Virginia Beach,Male,White,Bachelors Level Degree,Not Indicated,2010,1985,13,38
106,106,Police,Police Field Operations-Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2009,1981,14,42
107,107,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Portsmouth,Female,Black,Not Indicated,Not Indicated,2009,1970,14,53
108,108,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Norfolk,Male,White,Not Indicated,Not Indicated,2008,1969,15,54
109,109,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,White,Not Indicated,Not Indicated,2009,1967,14,56
110,110,Elections,Elections,Election Assistant I,Chesapeake,Female,White,Bachelors Level Degree,Not Indicated,2019,1994,4,29
111,111,Elections,Elections,Election Aide,Norfolk,Female,Black,Not Indicated,Not Indicated,2012,1955,11,68
112,112,Police,Police Field Operations-Sworn,Master Police Officer,Chesapeake,Male,Asian,Associate Degree,Not Indicated,2010,1985,13,38
113,113,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),Hampton,Male,Black,Not Indicated,Not Indicated,2009,1981,14,42
114,114,Fire-Rescue,Fire-Rescue,Fire Lieutenant,Chesapeake,Female,White,Not Indicated,Not Indicated,2010,1984,13,39
115,115,Information Technology,Information Technology,Programmer/Analyst IV,Chesapeake,Male,Black,Not Indicated,Not Indicated,2013,1971,10,52
116,116,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,White,Associate Degree,Not Indicated,2019,1994,4,29
117,117,Police,Police Administrative Svcs-Swn,Police Lieutenant,Virginia Beach,Male,White,HS Graduate or Equivalent,Not Indicated,2012,1985,11,38
118,118,Neighborhood Services,Neighborhood Devel - IMPACT,Citizen Service Advisor III,Norfolk,Female,Black,Some College,Not Indicated,2013,1983,10,40
119,119,Neighborhood Services,Dept of Neighborhood Dev - Div,"Codes Specialist, Senior",Chesapeake,Male,White,Not Indicated,Not Indicated,2012,1956,11,67
120,120,Norfolk Community Services Board,NCSB-Board Access Unit (MH),Program Administrator,Chesapeake,Female,Black,Not Indicated,Not Indicated,2011,1982,12,41
121,121,Parks and Recreation,RPOS - Landscape Services,Athletics Groundskeeper,Norfolk,Male,Black,Not Indicated,Not Indicated,2019,1981,4,42
122,122,Norfolk Community Services Board,NCSB-Intensive Outpatient,Clinician,Chesapeake,Female,White,Not Indicated,Not Indicated,2010,1952,13,71
123,123,Neighborhood Services,Neighborhood Devel - IMPACT,Citizen Service Advisor III,Norfolk,Female,Black,Not Indicated,Not Indicated,2010,1964,13,59
124,124,Norfolk Community Services Board,NCSB-Case Management,Management Analyst II,Norfolk,Female,White,Not Indicated,Not Indicated,2010,1986,13,37
125,125,Housing and Community Development,HUD Entitlement Management,Management Analyst II,Norfolk,Female,Black,Not Indicated,Not Indicated,2010,1991,13,32
126,126,General Services,Gen Srvs-PublicInfrastructure,Carpenter I,Norfolk,Male,White,HS Graduate or Equivalent,Not Indicated,2019,1978,4,45
127,127,Finance,Finance City Controller,Accounts Payable Manager,Virginia Beach,Male,NS,Not Indicated,Not Indicated,2009,1964,14,59
128,128,Neighborhood Services,Dept of Neighborhood Dev - Div,"Codes Specialist, Senior",Chesapeake,Male,White,HS Graduate or Equivalent,Not Indicated,2017,1958,6,65
129,129,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,White,Not Indicated,Not Indicated,2013,1990,10,33
130,130,Utilities,Utilities Water Distribution,Equipment Operator IV,Chesapeake,Male,Black,Not Indicated,Not Indicated,2010,1964,13,59
131,131,Commonwealths Attorney,Commonwealth's Attorney,Asst Commonwealth's Att III,Virginia Beach,Male,White,Not Indicated,Not Indicated,2012,1967,11,56
132,132,Norfolk Community Services Board,NCSB-Intensive Outpatient,Counselor III,Portsmouth,Male,Black,Not Indicated,Not Indicated,2008,1980,15,43
133,133,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,White,Not Indicated,Not Indicated,2011,1980,12,43
134,134,Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Counselor IV,Chesapeake,Female,,Not Indicated,Not Indicated,2009,1963,14,60
135,135,Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Division Head,Chesapeake,Male,Black,Not Indicated,Not Indicated,2011,1974,12,49
136,136,Information Technology,Information Technology,Radio Communications Sys Supv,Virginia Beach,Male,White,Not Indicated,Not Indicated,2012,1969,11,54
137,137,Information Technology,Information Technology,Programmer/Analyst V,Chesapeake,Female,Asian,Bachelors Level Degree,Not Indicated,2017,1976,6,47
138,138,Zoological Park,Zoo- Operations,Security Officer,Norfolk,Male,White,Not Indicated,Not Indicated,2013,1966,10,57
139,139,Cemeteries,Cemetery Fund,Equipment Operator III,Norfolk,Male,Black,Not Indicated,Not Indicated,2019,1990,4,33
140,140,Utilities,Utilities Engineering,Engineering Technician III,Norfolk,Female,Black,Not Indicated,Not Indicated,2012,1967,11,56
141,141,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,Black,Not Indicated,Not Indicated,2010,1986,13,37
142,142,Utilities,Utilities Water Distribution,Asst Supt of Utility Division,Suffolk,Male,White,Not Indicated,Not Indicated,2012,1965,11,58
143,143,Public Works,PW Waste Management,Education Manager,Norfolk,Female,White,Bachelors Level Degree,Not Indicated,2011,1969,12,54
144,144,Police,Police Investigative Svc-Sworn,Master Police Officer,Norfolk,Male,White,Some College,Not Indicated,2015,1986,8,37
145,145,Police,Police Administration-Civilian,Compliance Inspector,Chesapeake,Male,White,Bachelors Level Degree,Not Indicated,2011,1984,12,39
146,146,Human Services,Human Services Detention Ctr,Benefit Programs Specialist II,Norfolk,Female,Black,Not Indicated,Not Indicated,2013,1964,10,59
147,147,Fire-Rescue,Fire-Rescue,Fire Lieutenant,Melfa,Male,White,Not Indicated,Not Indicated,2012,1991,11,32
148,148,Public Works,PW Storm Water Mgmt,Utility Maintenance Supervisor,Norfolk,Male,Black,Not Indicated,Not Indicated,2012,1981,11,42
149,149,Information Technology,Information Technology,Programmer/Analyst V,Virginia Beach,Female,Asian,Not Indicated,Not Indicated,2011,1974,12,49
150,150,City Real Estate Assessor,City Assessor,Real Estate Appraiser IV,Elizabeth City,Male,White,Not Indicated,Not Indicated,2009,1965,14,58
151,151,Police,Police Field Operations-Sworn,Master Police Officer,Moyock,Male,Black,Some College,Not Indicated,2010,1975,13,48
152,152,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),Norfolk,Female,White,Associate Degree,Not Indicated,2013,1988,10,35
153,153,Libraries,Collection and Support Service,Library Associate II,Chesapeake,Female,White,Not Indicated,Not Indicated,2009,1963,14,60
154,154,Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Virginia Beach,Male,White,Not Indicated,Not Indicated,2009,1989,14,34
155,155,Police,Police Field Operations-Sworn,Police Officer,Norfolk,Male,Black,Some Graduate School,Not Indicated,2020,1987,3,36
156,156,Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Hampton,Female,Black,Not Indicated,Not Indicated,2013,1968,10,55
157,157,Police,Police Investigative Svc-Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2011,1989,12,34
158,158,Police,Police Field Operations-Guards,School Crossing Guard,Norfolk,Male,Black,HS Graduate or Equivalent,Not Indicated,2021,1962,2,61
159,159,Police,Police Investigative Svc-Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2012,1986,11,37
160,160,Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Facilities Manager,Norfolk,Male,White,Not Indicated,Not Indicated,2012,1988,11,35
161,161,Human Resources,Human Resources,Org Dev Analyst (HR only),Chesapeake,Female,White,Not Indicated,Not Indicated,2011,1980,12,43
162,162,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),Chesapeake,Male,Black,Not Indicated,Not Indicated,2011,1981,12,42
163,163,Police,Police Investigative Svc-Sworn,Master Police Officer,Chesapeake,Male,White,Not Indicated,Not Indicated,2009,1970,14,53
164,164,Police,Police Investigative Svc-Sworn,Master Police Officer,Virginia Beach,Male,White,Bachelors Level Degree,Not Indicated,2010,1969,13,54
165,165,Police,Police Administration - Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2010,1983,13,40
166,166,Police,Police Administration - Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2010,1985,13,38
167,167,Police,Police Administration - Sworn,Master Police Officer,Virginia Beach,Male,White,Not Indicated,Not Indicated,2011,1988,12,35
168,168,Sheriff and Jail,Judicial - Sheriff and Jail,Education Programs Specialist,chesapeake,Male,White,Not Indicated,Not Indicated,2011,1984,12,39
169,169,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,White,Not Indicated,Not Indicated,2012,1968,11,55
170,170,Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Therapeutic Rec Specialist,Norfolk,Female,White,Bachelors Level Degree,Not Indicated,2022,1999,1,24
171,171,Police,Police Administration - Sworn,Police Sergeant,Moyock,Male,White,Some College,Not Indicated,2010,1987,13,36
172,172,Police,Police Investigative Svc-Sworn,Master Police Officer,Shawboro,Male,White,Not Indicated,Not Indicated,2009,1983,14,40
173,173,Police,Police Investigative Svc-Sworn,Police Sergeant,Suffolk,Male,Black,Not Indicated,Not Indicated,2009,1985,14,38
174,174,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),Norfolk,Female,White,HS Graduate or Equivalent,Not Indicated,2012,1976,11,47
175,175,Public Works,PW Storm Water Mgmt,Project Manager,Virginia Beach,Male,White,Not Indicated,Not Indicated,2010,1981,13,42
176,176,Utilities,Utilities Engineering,Engineering Technician I,Norfolk,Male,Black,Not Indicated,Not Indicated,2011,1959,12,64
177,177,Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Virginia Beach,Female,Black,Bachelors Level Degree,Not Indicated,2023,1991,0,32
178,178,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Virginia Beach,Male,Black,Not Indicated,Not Indicated,2012,1987,11,36
179,179,General Services,General Services-Animal Care,Animal Caretaker,Norfolk,Female,White,Some College,Not Indicated,2023,1998,0,25
180,180,Human Services,Human Services - VJCCCA,Programs Manager,Newport News,Female,Black,Not Indicated,Not Indicated,2012,1949,11,74
181,181,Transit,Transit - Transportation,Operations Manager,Chesapeake,Male,White,Not Indicated,Not Indicated,2010,1989,13,34
182,182,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Sunbury,Male,White,Not Indicated,Not Indicated,2010,1987,13,36
183,183,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Suffolk,Male,White,Not Indicated,Not Indicated,2012,1977,11,46
184,184,Utilities,Utilities Water Distribution,Crew Leader I,Norfolk,Male,White,Not Indicated,Not Indicated,2012,1986,11,37
185,185,Elections,Elections,Member Election Board,Norfolk,Female,White,Masters Level Degree,Not Indicated,2023,1960,0,63
186,186,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Virginia Beach,Female,Black,Not Indicated,Not Indicated,2011,1982,12,41
187,187,Police,Police Administrative Svc-Civl,Administrative Assistant II,Norfolk,Female,Black,Some College,Not Indicated,2014,1977,9,46
188,188,Information Technology,Information Technology,Microcomputer Systems Analyst,Norfolk,Male,Black,Not Indicated,Not Indicated,2011,1983,12,40
189,189,Zoological Park,Executive Zoo-HorticultureSvcs,Horticulture Technician,Norfolk,Female,White,Not Indicated,Not Indicated,2009,1957,14,66
190,190,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),Portsmouth,Male,White,HS Graduate or Equivalent,Not Indicated,2023,1985,0,38
191,191,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Chesapeake,Male,White,Not Indicated,Not Indicated,2013,1969,10,54
192,192,Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Norfolk,Female,Black,Not Indicated,Not Indicated,2009,1977,14,46
193,193,Norfolk Community Services Board,NCSB-Drug Court,Case Manager III,Virginia Beach,Female,Black,Not Indicated,Not Indicated,2011,1974,12,49
194,194,Fire-Rescue,Fire-Rescue,Fire Lieutenant,Chesapeake,Female,Hispanic,Not Indicated,Not Indicated,2011,1981,12,42
195,195,Norfolk Community Services Board,NCSB-Management Info Systems,Management Analyst I,Norfolk,Female,White,Not Indicated,Not Indicated,2010,1981,13,42
196,196,Emergency Preparedness and Response,EOC/Emergency Management,"Dir,OfcofEmergPrepare&Response",Virginia Beach,Male,White,Not Indicated,Not Indicated,2011,1971,12,52
