,Unnamed: 0.1,Unnamed: 0,department,division,job_title,employee_classification,start_date,title_date,flsa_status,annual_base_rate,start_year,annual_salary,employee_status
30,30,30,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,2005-04-23T00:00:00.000,2008-07-01T00:00:00.000,Nonexempt,29.07,2005,60465.6,RET
31,31,31,City Manager,Executive City Manager,City Manager,Appointed by City Council,2019-09-16T00:00:00.000,2019-09-16T00:00:00.000,Exempt,281077.52,2019,281077.52,OTHER
32,32,32,City Manager,Executive City Manager,Executive Specialist,Retiree Part-time,1978-07-24T00:00:00.000,2020-10-05T00:00:00.000,Nonexempt,64.89,1978,134971.19999999998,PT
33,33,33,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,2014-01-22T00:00:00.000,2014-01-22T00:00:00.000,Nonexempt,23.26,2014,48380.8,RET
34,34,34,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,2021-05-08T00:00:00.000,2021-05-08T00:00:00.000,Nonexempt,23.3,2021,48464.0,RET
35,35,35,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,2006-02-13T00:00:00.000,2007-07-01T00:00:00.000,Nonexempt,26.34,2006,54787.2,RET
36,36,36,City Manager,City Manager-NCJS Adlt Com Sup,Programs Manager,Special Project w/ Retirement,1994-11-21T00:00:00.000,2007-07-01T00:00:00.000,Exempt,89695.36,1994,89695.36,RET
37,37,37,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,1999-10-07T00:00:00.000,2008-07-01T00:00:00.000,Nonexempt,29.07,1999,60465.6,RET
38,38,38,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,1999-08-24T00:00:00.000,1999-08-24T00:00:00.000,Nonexempt,29.07,1999,60465.6,RET
39,39,39,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,2005-01-31T00:00:00.000,2008-07-23T00:00:00.000,Nonexempt,26.34,2005,54787.2,RET
40,40,40,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,2017-12-04T00:00:00.000,2017-12-04T00:00:00.000,Nonexempt,23.62,2017,49129.600000000006,RET
41,41,41,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,2007-08-20T00:00:00.000,2007-08-20T00:00:00.000,Exempt,124908.0,2007,124908.0,FT
42,42,42,City Attorney,Law,Assistant City Attorney II,Permanent Full-time,2014-06-27T00:00:00.000,2019-08-17T00:00:00.000,Exempt,111375.0,2014,111375.0,FT
43,43,43,City Attorney,Law,Assistant City Attorney II,Permanent Full-time,2013-04-15T00:00:00.000,2013-04-15T00:00:00.000,Exempt,116803.0,2013,116803.0,FT
44,44,44,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,1998-06-01T00:00:00.000,2001-05-08T00:00:00.000,Exempt,123574.0,1998,123574.0,FT
45,45,45,City Attorney,Law,Legal Administrator,Permanent Full-time,1992-10-19T00:00:00.000,1997-02-07T00:00:00.000,Exempt,99007.0,1992,99007.0,FT
46,46,46,City Attorney,Law,Chief Deputy City Attorney,Permanent Full-time,2002-01-28T00:00:00.000,2016-07-01T00:00:00.000,Exempt,223376.0,2002,223376.0,FT
47,47,47,City Attorney,Law,City Attorney,Permanent Full-time,1984-10-08T00:00:00.000,1997-11-18T00:00:00.000,Exempt,239072.45,1984,239072.45,FT
48,48,48,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,2005-05-31T00:00:00.000,2010-01-19T00:00:00.000,Exempt,116917.0,2005,116917.0,FT
49,49,49,City Attorney,Law,Assistant City Attorney II,Permanent Full-time,2019-09-03T00:00:00.000,2019-09-03T00:00:00.000,Exempt,119041.0,2019,119041.0,FT
50,50,50,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,2014-08-01T00:00:00.000,2014-08-01T00:00:00.000,Exempt,150813.0,2014,150813.0,FT
51,51,51,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,2016-08-09T00:00:00.000,2016-08-09T00:00:00.000,Exempt,155379.0,2016,155379.0,FT
52,52,52,City Attorney,Law,Deputy City Attorney II,Permanent Full-time,1989-10-03T00:00:00.000,1996-05-15T00:00:00.000,Exempt,161153.0,1989,161153.0,FT
53,53,53,City Attorney,Law,Deputy City Attorney III,Permanent Full-time,2013-09-16T00:00:00.000,2013-09-16T00:00:00.000,Exempt,175522.0,2013,175522.0,FT
54,54,54,City Attorney,Law,Chief Deputy City Attorney,Permanent Full-time,2013-08-26T00:00:00.000,2016-07-01T00:00:00.000,Exempt,223376.0,2013,223376.0,FT
55,55,55,City Attorney,Law,Legal Secretary II,Permanent Full-time,2018-10-15T00:00:00.000,2018-10-15T00:00:00.000,Nonexempt,54544.0,2018,54544.0,FT
56,56,56,City Attorney,Law,Paralegal Specialist II,Permanent Full-time,2022-11-05T00:00:00.000,2022-11-05T00:00:00.000,Nonexempt,54652.0,2022,54652.0,FT
57,57,57,City Attorney,Law,Legal Secretary II,Permanent Full-time,2002-02-19T00:00:00.000,2002-02-19T00:00:00.000,Nonexempt,58257.0,2002,58257.0,FT
58,58,58,City Attorney,Law,Assistant City Attorney III,Permanent Full-time,2014-08-01T00:00:00.000,2019-01-22T00:00:00.000,Exempt,126398.0,2014,126398.0,FT
59,59,59,City Attorney,Law,Deputy City Attorney II,Permanent Full-time,1999-06-01T00:00:00.000,2001-06-29T00:00:00.000,Exempt,137634.0,1999,137634.0,FT
60,60,60,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,2015-07-01T00:00:00.000,2015-07-01T00:00:00.000,Exempt,139324.0,2015,139324.0,FT
61,61,61,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,2001-01-29T00:00:00.000,2001-01-29T00:00:00.000,Exempt,141058.0,2001,141058.0,FT
62,62,62,City Attorney,Law,Deputy City Attorney I,Permanent Full-time,2006-02-06T00:00:00.000,2019-01-01T00:00:00.000,Exempt,148452.0,2006,148452.0,FT
63,63,63,City Attorney,Law,Support Technician,Permanent Full-time,2017-11-20T00:00:00.000,2021-09-07T00:00:00.000,Nonexempt,39440.0,2017,39440.0,FT
64,64,64,City Attorney,Law,Support Technician,Permanent Full-time,2019-01-22T00:00:00.000,2021-08-16T00:00:00.000,Nonexempt,39440.0,2019,39440.0,FT
65,65,65,City Attorney,Law,Legal Secretary II,Permanent Full-time,2022-10-22T00:00:00.000,2022-10-22T00:00:00.000,Nonexempt,45000.0,2022,45000.0,FT
66,66,66,City Attorney,Law,Legal Secretary II,Permanent Full-time,2020-10-24T00:00:00.000,2020-10-24T00:00:00.000,Nonexempt,50814.0,2020,50814.0,FT
67,67,67,City Attorney,Law,Legal Secretary II,Permanent Full-time,2013-08-01T00:00:00.000,2020-03-14T00:00:00.000,Nonexempt,50814.0,2013,50814.0,FT
68,68,68,City Attorney,Law,Legal Coordinator I,Permanent Full-time,2015-07-13T00:00:00.000,2018-06-04T00:00:00.000,Nonexempt,60506.0,2015,60506.0,FT
69,69,69,City Attorney,Law,Paralegal Claims Investg - LD,Permanent Full-time,2023-04-22T00:00:00.000,2023-04-22T00:00:00.000,Nonexempt,65000.0,2023,65000.0,FT
70,70,70,City Attorney,Law,Legal Secretary II,Permanent Full-time,2015-08-03T00:00:00.000,2015-08-03T00:00:00.000,Nonexempt,67154.0,2015,67154.0,FT
71,71,71,City Attorney,Law,Legal Secretary II,Permanent Full-time,2014-01-28T00:00:00.000,2015-05-11T00:00:00.000,Nonexempt,59765.0,2014,59765.0,FT
72,72,72,City Attorney,Law,Legal Coordinator II,Permanent Full-time,1990-04-02T00:00:00.000,1996-05-15T00:00:00.000,Nonexempt,81914.0,1990,81914.0,FT
73,73,73,City Attorney,Law,Assistant City Attorney I,Appointed by City Council,2020-08-03T00:00:00.000,2022-12-03T00:00:00.000,Exempt,85000.0,2020,85000.0,OTHER
74,74,74,City Attorney,Law,Business Manager,Permanent Full-time,1974-01-14T00:00:00.000,1996-05-15T00:00:00.000,Exempt,86110.84,1974,86110.84,FT
75,75,75,City Attorney,Law,Paralegal Specialist I,Permanent Full-time,2007-10-03T00:00:00.000,2019-11-09T00:00:00.000,Nonexempt,71105.0,2007,71105.0,FT
76,76,76,City Attorney,Law,Assistant City Attorney III,Permanent Full-time,2019-10-26T00:00:00.000,2019-10-26T00:00:00.000,Exempt,125970.0,2019,125970.0,FT
77,77,77,Finance,Finance Purchasing,Procurement Specialist III,Permanent Full-time,2019-08-03T00:00:00.000,2019-08-03T00:00:00.000,Exempt,72450.0,2019,72450.0,FT
78,78,78,Finance,Finance Purchasing,Chief Procurement Officer,Permanent Full-time,2018-04-30T00:00:00.000,2018-04-30T00:00:00.000,Exempt,140649.08,2018,140649.08,FT
79,79,79,Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,2017-06-26T00:00:00.000,2017-06-26T00:00:00.000,Exempt,53810.03,2017,53810.03,FT
80,80,80,Finance,Finance Purchasing,Procurement Specialist II,Permanent Full-time,2003-09-02T00:00:00.000,2023-02-25T00:00:00.000,Exempt,63869.31,2003,63869.31,FT
81,81,81,Finance,Finance - Director's Office,"Cash & Investments Analyst, Sr",Permanent Full-time,2022-11-19T00:00:00.000,2022-11-19T00:00:00.000,Exempt,65000.0,2022,65000.0,FT
82,82,82,Finance,Finance - Director's Office,Risk Analyst,Permanent Full-time,2021-03-13T00:00:00.000,2021-03-13T00:00:00.000,Exempt,75705.0,2021,75705.0,FT
83,83,83,Finance,Finance - Director's Office,Fiscal Systems Administrator,Permanent Full-time,2008-04-28T00:00:00.000,2015-12-08T00:00:00.000,Exempt,86100.0,2008,86100.0,FT
84,84,84,Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,2015-04-27T00:00:00.000,2016-12-12T00:00:00.000,Exempt,55977.0,2015,55977.0,FT
85,85,85,Finance,Finance - Director's Office,Fiscal Systems Manager,Permanent Full-time,2014-09-03T00:00:00.000,2015-12-08T00:00:00.000,Exempt,96719.13,2014,96719.13,FT
86,86,86,Finance,Finance Purchasing,Procurement Specialist III,Permanent Full-time,2006-10-03T00:00:00.000,2013-08-19T00:00:00.000,Exempt,78814.2,2006,78814.2,FT
87,87,87,Finance,Finance Purchasing,Procurement Specialist III,Permanent Full-time,2023-01-17T00:00:00.000,2023-01-17T00:00:00.000,Exempt,68000.0,2023,68000.0,FT
88,88,88,Finance,Finance - Director's Office,Business Manager,Permanent Full-time,2002-02-04T00:00:00.000,2022-09-12T00:00:00.000,Exempt,66500.0,2002,66500.0,FT
89,89,89,Finance,Finance Retirement Bureau,Retirement Benefits Admin,Permanent Full-time,2015-06-08T00:00:00.000,2019-03-30T00:00:00.000,Exempt,93450.0,2015,93450.0,FT
90,90,90,Finance,Finance - Director's Office,Risk Manager,Permanent Full-time,2019-05-28T00:00:00.000,2019-05-28T00:00:00.000,Exempt,101487.96,2019,101487.96,FT
91,91,91,Finance,Finance Purchasing,Procurement Specialist IV,Permanent Full-time,2017-06-05T00:00:00.000,2022-07-30T00:00:00.000,Exempt,84000.0,2017,84000.0,FT
92,92,92,Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,2004-11-29T00:00:00.000,2017-06-26T00:00:00.000,Exempt,54879.35,2004,54879.35,FT
93,93,93,Finance,Finance City Controller,Collection Coord,Permanent Full-time,2017-02-27T00:00:00.000,2017-02-27T00:00:00.000,Exempt,55371.75,2017,55371.75,FT
94,94,94,Finance,Finance Retirement Bureau,Exec Mgr of Retirement Systems,Permanent Full-time,2012-06-25T00:00:00.000,2019-01-22T00:00:00.000,Exempt,121275.0,2012,121275.0,FT
95,95,95,Finance,Finance City Controller,Payroll Specialist,Permanent Full-time,2021-10-18T00:00:00.000,2021-10-18T00:00:00.000,Exempt,53810.4,2021,53810.4,FT
96,96,96,Finance,Finance - Director's Office,Assistant Director,Permanent Full-time,2017-04-17T00:00:00.000,2021-07-06T00:00:00.000,Exempt,131250.0,2017,131250.0,FT
97,97,97,Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,2022-01-03T00:00:00.000,2022-01-03T00:00:00.000,Exempt,53810.03,2022,53810.03,FT
98,98,98,Finance,Finance City Controller,Customer Service Supervisor,Permanent Full-time,2014-12-01T00:00:00.000,2023-02-25T00:00:00.000,Exempt,65000.0,2014,65000.0,FT
99,99,99,Finance,Finance City Controller,Accounts Receivable Manager,Permanent Full-time,2014-03-17T00:00:00.000,2014-03-17T00:00:00.000,Exempt,93303.87,2014,93303.87,FT
100,100,100,Finance,Finance Retirement Bureau,Management Analyst III,Special Project w/ Retirement,2018-12-17T00:00:00.000,2022-03-28T00:00:00.000,Exempt,71400.0,2018,71400.0,RET
101,101,101,Finance,Finance Retirement Bureau,Sr Accountant IV (Fin only),Permanent Full-time,2020-09-12T00:00:00.000,2021-10-09T00:00:00.000,Exempt,75600.0,2020,75600.0,FT
102,102,102,Finance,Finance Purchasing,Procurement Specialist II,Permanent Full-time,2019-01-22T00:00:00.000,2019-01-22T00:00:00.000,Exempt,57362.76,2019,57362.76,FT
103,103,103,Finance,Finance - Director's Office,Debt Management Specialist I,Permanent Full-time,2022-08-29T00:00:00.000,2022-08-29T00:00:00.000,Exempt,65000.0,2022,65000.0,FT
104,104,104,Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,2006-11-27T00:00:00.000,2022-05-25T00:00:00.000,Exempt,78408.75,2006,78408.75,FT
105,105,105,Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,2018-04-02T00:00:00.000,2021-04-10T00:00:00.000,Exempt,78408.75,2018,78408.75,FT
106,106,106,Finance,Finance City Controller,Management Analyst III,Permanent Full-time,2017-08-14T00:00:00.000,2017-08-14T00:00:00.000,Exempt,80850.0,2017,80850.0,FT
107,107,107,Finance,Finance City Controller,Collection Coord,Permanent Full-time,2018-01-08T00:00:00.000,2022-09-26T00:00:00.000,Exempt,55371.75,2018,55371.75,FT
108,108,108,Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,2007-07-09T00:00:00.000,2022-09-26T00:00:00.000,Exempt,91927.5,2007,91927.5,FT
109,109,109,Finance,Finance Purchasing,Purchasing Agent,Permanent Full-time,2018-06-25T00:00:00.000,2018-06-25T00:00:00.000,Exempt,120395.6,2018,120395.6,FT
110,110,110,Finance,Finance City Controller,Management Analyst III,Permanent Full-time,2017-07-31T00:00:00.000,2022-03-28T00:00:00.000,Exempt,67053.0,2017,67053.0,FT
111,111,111,Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,2008-03-24T00:00:00.000,2008-03-24T00:00:00.000,Exempt,56238.0,2008,56238.0,FT
112,112,112,Finance,Finance Retirement Bureau,Management Analyst II,Permanent Full-time,2020-01-04T00:00:00.000,2022-04-09T00:00:00.000,Exempt,58800.0,2020,58800.0,FT
113,113,113,Finance,Finance - Director's Office,Director of Finance,Permanent Full-time,1992-12-18T00:00:00.000,2016-01-08T00:00:00.000,Exempt,165268.29,1992,165268.29,FT
114,114,114,Finance,Finance Purchasing,Procurement Specialist II,Permanent Full-time,2007-03-05T00:00:00.000,2018-12-10T00:00:00.000,Exempt,56259.63,2007,56259.63,FT
115,115,115,Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,2021-12-20T00:00:00.000,2021-12-20T00:00:00.000,Exempt,52754.98,2021,52754.98,FT
116,116,116,Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,2022-09-24T00:00:00.000,2022-09-24T00:00:00.000,Exempt,52754.98,2022,52754.98,FT
117,117,117,Finance,Finance - Director's Office,Assistant Director,Permanent Full-time,2009-10-26T00:00:00.000,2016-06-20T00:00:00.000,Exempt,140649.08,2009,140649.08,FT
118,118,118,Finance,Finance City Controller,Sr Accountant III (Fin only),Permanent Full-time,2022-03-14T00:00:00.000,2022-03-14T00:00:00.000,Exempt,65100.0,2022,65100.0,FT
119,119,119,Finance,Finance City Controller,Payroll Specialist,Permanent Full-time,2023-01-03T00:00:00.000,2023-01-03T00:00:00.000,Exempt,49300.5,2023,49300.5,FT
120,120,120,Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,2017-08-07T00:00:00.000,2020-09-14T00:00:00.000,Exempt,91927.5,2017,91927.5,FT
121,121,121,Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,2019-07-27T00:00:00.000,2022-08-27T00:00:00.000,Exempt,75705.0,2019,75705.0,FT
122,122,122,Finance,Finance City Controller,City Controller,Permanent Full-time,2015-12-14T00:00:00.000,2021-07-06T00:00:00.000,Exempt,120750.0,2015,120750.0,FT
123,123,123,Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,2003-11-17T00:00:00.000,2023-01-03T00:00:00.000,Exempt,75600.0,2003,75600.0,FT
124,124,124,Finance,Finance City Controller,Payroll Manager,Permanent Full-time,2015-06-23T00:00:00.000,2022-10-15T00:00:00.000,Exempt,96000.0,2015,96000.0,FT
125,125,125,Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,2020-03-14T00:00:00.000,2022-07-16T00:00:00.000,Exempt,75600.0,2020,75600.0,FT
126,126,126,Finance,Finance City Controller,Payroll Administrator,Permanent Full-time,2018-05-29T00:00:00.000,2022-10-24T00:00:00.000,Exempt,72000.0,2018,72000.0,FT
127,127,127,Finance,Finance City Controller,Accounts Payable Manager,Permanent Full-time,2009-06-15T00:00:00.000,2015-02-02T00:00:00.000,Exempt,106050.0,2009,106050.0,FT
128,128,128,Finance,Finance Purchasing,Administrative Assistant II,Permanent Full-time,1983-09-12T00:00:00.000,2015-04-16T00:00:00.000,Nonexempt,52210.45,1983,52210.45,FT
129,129,129,Finance,Finance City Controller,Sr Accounting Mgr (Finance),Permanent Full-time,2019-10-12T00:00:00.000,2023-01-17T00:00:00.000,Exempt,116000.0,2019,116000.0,FT
130,130,130,Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,2023-02-25T00:00:00.000,2023-02-25T00:00:00.000,Exempt,75600.0,2023,75600.0,FT
131,131,131,Finance,Finance Purchasing,Procurement Specialist I,Permanent Full-time,2021-10-11T00:00:00.000,2021-10-11T00:00:00.000,Exempt,50400.0,2021,50400.0,FT
132,132,132,Finance,Finance City Controller,Bureau Manager,Permanent Full-time,2013-10-25T00:00:00.000,2018-12-18T00:00:00.000,Exempt,111211.79,2013,111211.79,FT
133,133,133,Human Resources,Human Resources,Comp & Staff Anly I (HR only),Permanent Full-time,2015-12-14T00:00:00.000,2022-12-05T00:00:00.000,Exempt,67000.0,2015,67000.0,FT
134,134,134,Human Resources,Human Resources,Comp & Staff Anly II (HR only),Permanent Full-time,2020-03-09T00:00:00.000,2020-03-09T00:00:00.000,Exempt,70297.5,2020,70297.5,FT
135,135,135,Human Resources,Human Resources,Org Dev Manager (HR only),Permanent Full-time,1999-05-24T00:00:00.000,2016-09-16T00:00:00.000,Exempt,97056.28,1999,97056.28,FT
136,136,136,Human Resources,Human Resources,Emp Rel Anly II (HR only),Permanent Full-time,2021-10-04T00:00:00.000,2021-10-04T00:00:00.000,Exempt,73500.0,2021,73500.0,FT
137,137,137,Human Resources,Human Resources,Tota Abnce Mgmt Anly (HR only),Permanent Full-time,2022-03-14T00:00:00.000,2022-03-14T00:00:00.000,Exempt,66150.0,2022,66150.0,FT
138,138,138,Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,2019-01-02T00:00:00.000,2019-01-02T00:00:00.000,Nonexempt,44130.45,2019,44130.45,FT
139,139,139,Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,2020-01-21T00:00:00.000,2020-01-21T00:00:00.000,Nonexempt,44130.45,2020,44130.45,FT
140,140,140,Human Resources,Human Resources,Assistant Director,Permanent Full-time,2015-04-20T00:00:00.000,2022-04-18T00:00:00.000,Exempt,126000.0,2015,126000.0,FT
141,141,141,Human Resources,Human Resources,Comp & Staff Manager (HR only),Permanent Full-time,2016-06-27T00:00:00.000,2021-06-05T00:00:00.000,Exempt,91927.5,2016,91927.5,FT
142,142,142,Human Resources,Human Resources,Programs Manager,Permanent Full-time,2013-08-26T00:00:00.000,2023-02-27T00:00:00.000,Exempt,75812.49,2013,75812.49,FT
143,143,143,Human Resources,Human Resources,City Safety Officer,Permanent Full-time,2022-08-01T00:00:00.000,2022-08-01T00:00:00.000,Exempt,77000.0,2022,77000.0,FT
144,144,144,Human Resources,Human Resources,Tota Abnce Mgmt Anly (HR only),Permanent Full-time,2022-06-21T00:00:00.000,2022-06-21T00:00:00.000,Exempt,66150.0,2022,66150.0,FT
145,145,145,Human Resources,Human Resources,Comp & Staff Anly II (HR only),Permanent Full-time,2022-12-17T00:00:00.000,2022-12-17T00:00:00.000,Exempt,67000.0,2022,67000.0,FT
146,146,146,Human Resources,Human Resources,Emp Relations Mgr (HR only),Permanent Full-time,2014-05-23T00:00:00.000,2022-03-14T00:00:00.000,Exempt,91875.0,2014,91875.0,FT
147,147,147,Human Resources,Human Resources,Emp Rel Anly I (HR only),Permanent Full-time,2022-07-18T00:00:00.000,2022-07-18T00:00:00.000,Exempt,75600.0,2022,75600.0,FT
148,148,148,Human Resources,Human Resources,Accountant II,Permanent Full-time,2022-09-26T00:00:00.000,2022-09-26T00:00:00.000,Exempt,51000.0,2022,51000.0,FT
149,149,149,Human Resources,Human Resources,Tota Abnce Mgmt Anly (HR only),Permanent Full-time,2022-04-25T00:00:00.000,2022-04-25T00:00:00.000,Exempt,66150.0,2022,66150.0,FT
150,150,150,Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,2002-01-23T00:00:00.000,2023-02-13T00:00:00.000,Nonexempt,48000.0,2002,48000.0,FT
151,151,151,Human Resources,Human Resources,Comp & Staff Anly II (HR only),Permanent Full-time,2019-10-19T00:00:00.000,2019-10-19T00:00:00.000,Exempt,77868.0,2019,77868.0,FT
